idx,parent_device_id,product_type,air_temp [K],process_temp [K],speed [RPM],torque [Nm],tool_wear [min],target
0,5291,L,303.8,313.3,1406,52.1,166,normal
1,3908,L,302.3,311.2,1633,36.4,114,normal
2,10767,M,302.27,311.47,1228,68.75,187,failure
3,15484,L,302.35,311.93,1522,36.99,214,failure
4,784,L,296.7,307.9,1743,27.9,55,normal
5,9840,H,298.3,309.2,1486,42.4,16,normal
6,18430,L,300.78,309.97,1450,61.01,143,failure
7,11482,L,303.14,311.31,1350,53.5,7,failure
8,15095,H,297.54,307.82,1610,35.68,220,failure
9,4085,H,302.0,310.5,1841,23.6,119,normal
10,2437,L,299.1,308.3,1426,40.1,60,normal
11,8967,L,297.1,307.8,1536,40.4,92,normal
12,15363,L,301.87,310.42,1262,61.01,91,failure
13,17950,M,299.55,309.17,1544,36.51,204,failure
14,16639,L,302.02,310.77,1338,66.78,193,failure
15,9174,L,297.8,308.9,1871,25.6,200,failure
16,8685,H,297.2,308.5,1524,41.4,192,normal
17,3374,L,301.4,310.7,1376,50.6,25,normal
18,13981,L,298.85,308.92,1295,64.12,207,failure
19,15318,L,300.4,311.78,1271,59.47,198,failure
20,16887,L,302.45,310.73,1356,49.18,122,failure
21,19008,L,296.85,307.61,2220,14.9,127,failure
22,11459,M,302.2,310.6,1347,49.63,132,failure
23,18183,L,300.47,309.82,1409,43.35,203,failure
24,5886,L,301.4,311.1,1494,41.9,142,normal
25,8689,L,297.1,308.4,1543,39.6,205,normal
26,17489,L,303.18,312.61,2522,12.85,7,failure
27,15889,H,300.2,310.83,2573,12.6,69,failure
28,15494,L,302.4,310.46,1369,52.68,159,failure
29,8026,L,300.7,311.9,1399,50.2,222,failure
30,15964,L,298.19,308.56,1429,38.08,220,failure
31,6074,M,301.0,310.8,1533,39.3,194,normal
32,16169,H,303.09,311.62,1366,55.69,110,failure
33,2808,L,299.9,309.3,1471,41.8,109,normal
34,1399,L,299.0,310.2,1533,43.5,159,normal
35,10611,H,297.76,307.56,1606,35.94,223,failure
36,202,M,298.4,308.5,1636,35.7,107,normal
37,10132,L,299.49,309.26,1647,31.09,167,failure
38,10886,L,299.97,310.39,1195,66.65,197,failure
39,2340,L,299.1,308.1,1479,40.7,10,normal
40,3786,L,302.3,310.9,1587,36.6,20,normal
41,9427,L,298.2,308.8,1540,34.8,32,normal
42,19285,L,298.46,309.28,1508,49.31,225,failure
43,17371,L,301.58,310.66,1367,64.16,90,failure
44,1495,H,297.9,308.5,1383,44.6,184,normal
45,849,H,296.4,307.4,1586,35.5,0,normal
46,19162,L,300.11,310.37,1399,45.33,221,failure
47,17839,L,300.57,310.89,1459,49.85,208,failure
48,6380,L,300.2,309.8,1430,55.0,102,normal
49,2468,M,298.9,308.6,-1,40.4,131,normal
50,16160,L,302.36,310.72,-1,49.85,158,failure
51,7040,L,300.7,310.6,-1,30.3,96,normal
52,520,L,297.6,309.5,-1,36.2,42,normal
53,5488,L,302.7,312.2,-1,52.1,213,failure
54,16737,H,302.78,310.67,-1,57.16,57,failure
55,10620,L,300.87,310.56,-1,38.26,206,failure
56,17357,H,301.42,309.91,-1,63.77,20,failure
57,17384,L,301.3,310.71,-1,52.53,184,failure
58,14982,M,300.7,311.35,-1,19.05,227,failure
59,3169,M,300.4,309.6,1675,35.5,164,normal
60,12196,L,298.44,309.55,2174,15.46,119,failure
61,3905,M,302.2,311.2,1561,34.9,106,normal
62,13593,L,302.19,310.75,1330,62.94,90,failure
63,15550,H,300.28,310.94,1256,71.13,148,failure
64,1592,L,298.1,308.4,1592,38.2,211,normal
